Cluster,Analysis,Backdoor,Bot,DDoS,DoS,DoS GoldenEye,DoS Hulk,DoS SlowHTTPTest,DoS Slowloris,Exploits,FTP Patator,Fuzzers,Generic,Heartbleed,Infiltration,Normal,Port Scan,Reconnaissance,SSH Patator,Shellcode,Web Attack - Brute Force,Web Attack - SQL Injection,Web Attack - XSS,Worms
Cluster 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6297,0,0,0,0,0,0,0,0
Cluster 1,0,0,0,0,0,0,0,0,0,0,0,0,0,2601,0,0,0,0,0,0,0,0,0,0
Cluster 10,0,0,0,0,0,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627,0,0,0,0,0
Cluster 101,0,0,0,0,0,0,6149,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster 102,0,0,0,0,0,0,0,0,0,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 103,0,0,0,0,0,0,6188,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4362,0,0,0,0,0,0,0,0
Cluster 105,0,0,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 106,0,0,0,0,140,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0
Cluster 108,0,0,0,0,0,0,8470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 109,0,0,0,0,0,0,6353,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 11,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,351,0,0,0,0,0,0
Cluster 110,0,0,0,0,1,0,0,0,0,2,0,171,0,0,0,2,0,0,0,0,0,0,0,0
Cluster 111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2543,0,0,0,0,0
Cluster 112,0,0,0,0,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 113,0,0,0,0,0,0,0,0,0,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 114,0,0,1586,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Cluster 115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931
Cluster 116,0,0,0,0,0,0,4667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 117,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2564,0,0,0,0,0,0,0,0
Cluster 119,0,0,0,0,0,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 12,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,4421,0,0,0,0,0,0
Cluster 120,0,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 121,0,0,0,0,0,0,0,0,0,1942,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,978,0,0,0,0,0
Cluster 123,0,0,0,0,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 124,0,0,0,0,0,0,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 125,0,0,0,0,0,0,0,0,0,0,0,0,0,8417,0,0,0,0,0,0,0,0,0,0
Cluster 126,0,0,0,0,0,0,0,0,0,0,0,0,2901,0,0,0,0,0,0,0,0,0,0,0
Cluster 127,0,0,0,0,2440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 128,0,0,0,1957,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 129,0,0,0,0,0,0,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2586,0,0,0
Cluster 130,0,0,0,0,1,0,0,0,0,2,0,0,405,0,0,0,0,0,0,0,0,0,0,0
Cluster 131,0,0,0,0,16,0,0,0,0,164,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Cluster 132,0,0,0,0,0,0,0,0,0,0,1919,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 133,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0
Cluster 134,0,0,0,0,0,0,0,0,0,6,0,0,201,0,0,0,0,0,0,0,0,0,0,0
Cluster 135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2469,0,0,0
Cluster 136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976,0,0,0,0,0,0,0,0
Cluster 137,0,0,0,6992,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Cluster 138,0,0,0,0,0,0,268,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Cluster 139,0,0,0,0,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 14,0,0,0,0,0,0,18702,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Cluster 140,0,0,0,0,0,0,0,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 141,0,0,0,0,0,0,0,0,0,0,0,0,0,6013,0,0,0,0,0,0,0,0,0,0
Cluster 142,0,0,0,0,0,0,0,0,0,89,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Cluster 143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,500,0,0,0,0,0
Cluster 144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3720,0,0,0,0,0
Cluster 145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4766,0,0,0,0,0,0,0,0
Cluster 146,0,0,0,0,0,0,4576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 147,0,0,0,0,0,0,0,0,0,0,0,0,1671,0,0,0,0,0,0,0,0,0,0,0
Cluster 148,0,0,0,0,0,0,0,0,0,0,0,0,0,13436,0,0,0,0,0,0,0,0,0,0
Cluster 149,0,0,0,0,0,0,0,0,0,2488,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,843
Cluster 150,0,0,0,0,0,0,0,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 151,0,0,0,0,0,0,0,0,0,0,1740,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 152,0,0,0,3230,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
Cluster 153,0,0,0,0,0,0,0,0,0,0,0,0,856,0,0,0,0,0,0,0,0,0,0,0
Cluster 154,0,0,0,0,284,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cluster 155,0,0,0,0,0,0,0,0,0,0,0,0,0,8700,0,0,0,0,0,0,0,0,0,0
Cluster 156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2544,0,0,0,0,0,0,0,0
Cluster 157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1862,0,0,0,0,0
Cluster 158,0,0,0,0,0,0,1508,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659,0
Cluster 16,0,0,0,0,4,0,0,1666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883,0,0,0,0,0
Cluster 161,0,0,0,0,1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4356,0,0,0,0,0,0,0,0
Cluster 163,0,0,0,0,0,0,1844,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 164,0,0,0,4635,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
Cluster 165,0,0,0,0,0,0,2324,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Cluster 166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,0
Cluster 167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3639,0,0,0,0,0,0,0,0
Cluster 168,0,0,0,0,0,983,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Cluster 169,0,0,0,5645,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
Cluster 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3261,0,0,0,0,0,0,0,0,0
Cluster 170,0,0,0,0,7,0,0,0,0,16,0,0,140,0,0,0,0,0,0,0,0,0,0,0
Cluster 171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2675,0,0,0,0,0
Cluster 172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1424
Cluster 173,0,0,0,0,0,0,0,0,0,0,0,0,531,0,0,0,0,0,0,0,0,0,0,0
Cluster 174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2069,0,0,0,0,0,0,0,0
